Артикул (Part No.),Наименование (RU),Description (EN),Description (ZH),"Цена, CNY без НДС",Группа,Взаимозаменяемый артикул,Источник,Разделы
15253073,TEE,TEE,三通,64.76,Гидравлическая система,,NTE200,050-0090 050-0170
15253129,ELBOW CONNECTION,ELBOW,弯头,274.63,Гидравлическая система,,NTE200,050-0090
15253242,Уголок,ELBOW,弯头,160.05,Гидравлическая система,,NTE200,050-0090
15253647,,ELBOW,弯头,,,,NTE200,050-0090 050-0170
15254657,CLAMP,CLIP,卡箍,220.97,Cummins,,NTE200,040-0060
15256731,BOLT,BOLT,螺栓,8.85,,,NTE200,020-0030
15256755,,JOINT,接头,,,,NTE200,050-0170
15257770,KEYSWITCH,KEY SWITCH,钥匙开关,524.07,Кабина,,NTE200,090-0050
15266829,#N/A,INDICATOR,指示器,299.31,Гидравлическая система,,NTE200,050-0010
15301637,SPIRALGUARD---,SHIELD,螺旋护套,44.11,Гидравлическая система,,NTE200,030-0160 050-0170
15301699,LOAD BREAK SWITCH,LB WITCH,装载制动开关,271.98,Электрооборудование,,NTE200,090-0050
15303679,,CABLE TIE,电缆卡带,,,,NTE200,100-0230
15305384,,JOINT,接头,,,,NTE200,050-0170
15305573,,SPRING,护簧,,,,NTE200,050-0040
15308924,Хомут Ø110,CLAMP,卡箍,280.47,,,NTE200,210-0920
15311494,Хомут,CLAMP-HOSE,卡环,243.36,,,NTE200,070-0030
15318915,REVERSE ALARM,REVERSE ALARM,倒车报警,1624.73,Электрооборудование,,NTE200,030-0060
15366005,BOLT---,WASHER,螺栓,3.86,,,NTE200,030-0070
17LV66146,,,,,,,GE,600-0040-200
20000468,FLANGE - SPLIT,FLANGE,对开法兰,223.35,,,NTE200,050-0090
2000357,,VALVE THROTTLE,节流阀,,,,NTE200,050-0130
2000358,,VALVE THROTTLE,节流阀,,,,NTE200,050-0130
2000359,,VALVE THROTTLE,节流阀,,,,NTE200,050-0130
20004081,SWITCH,SWITCH,拨动开关,274.49,,,NTE200,030-0190 030-0200
20010861,PLUG---,PLUG,堵头,5.77,Гидравлическая система,,NTE200,050-0090 050-0170
20011051,ACCUMULATOR,RESERVOIR,储液器,396.11,Фильтр,,NTE200,090-0140
20011062,·CLAMP---,CLAMP,夹子,153.43,,,NTE200,090-0100
20011442,Вентиляционная решетка,VENT,出风口,200.69,,,NTE200,090-0100
20011445,·CONNECTOR---,CONNECTOR,接头,40.27,,,NTE200,090-0100
20011446,·CONNECTOR---,CONNECTOR,接头,46.02,,,NTE200,090-0100
20011450,·EXPANSION-VALVE--,EXPANSION VALVE,膨胀阀,320.27,Кабина,,NTE200,090-0100
20011454,AIR BLOWER (USE FOR NEW CAB),BLOWER UNIT,风机,1956.13,Кабина,,NTE200,090-0100
20011733,,SWITCH-DOOR,门触点开关,,,,NTE200,090-0010
20011735,SPRINKLE-HOSE,TUBE,喷水软管,21.98,Кабина,,NTE200,090-0010
